# timestamp_utc=2026-09-22T05:02:20+00:00
# host=129-146-116-70
# python=3.10.12
# git_commit=dfac770-dirty
# nvcc=Build cuda_12.8.r12.8/compiler.35583870_0
# ncu=Version 2025.1.1.0 (build 35528883) (public-release)
# driver=580.105.08
# torch=2.7.0
# cuda_runtime=12.8
# cudnn=90800
# gpu=NVIDIA A100-SXM4-40GB
# gpu_memory_gb=42.4
# sm_count=108
# compute_capability=8.0
# shared_mem_per_block_optin_kb=163.0
# peak_bw_gbs=1555.0
# peak_bw_source=table lookup: A100-SXM4-40GB
# clocks_sm_clock=210 MHz
# clocks_sm_clock_max=1410 MHz
# clocks_mem_clock=1215 MHz
# clocks_mem_clock_max=1215 MHz
# clocks_throttle_reasons=0x0000000000000001
# clocks_temp_c=31
# clocks_power_w=70.43 W
n,d,kernel,source,launches,dram_read_bytes,dram_write_bytes,dram_total_bytes,l2_total_bytes,predicted_bytes,ideal_bytes,dram_vs_ideal,l2_vs_dram,median_us,dram_gbps,pct_peak
4096,1024,v0,measured,1,16787456,3821824,20609280,54819648,67108864,33554432,0.61,2.66,45.056,457.4,29.4
4096,1024,v1,measured,1,16785920,1741568,18527488,55280192,33554432,33554432,0.55,2.98,48.128,385.0,24.8
4096,1024,v2,measured,1,16784640,1642496,18427136,55295584,33554432,33554432,0.55,3.00,33.792,545.3,35.1
4096,8192,v0,measured,1,333922432,121007488,454929920,995778752,536870912,268435456,1.69,2.19,373.760,1217.2,78.3
4096,8192,v1,measured,1,134231424,116226432,250457856,525521856,268435456,268435456,0.93,2.10,223.232,1122.0,72.2
4096,8192,v2,measured,1,134235136,115773696,250008832,525471616,268435456,268435456,0.93,2.10,209.920,1191.0,76.6
4096,1024,v2a,measured,1,16785792,3906176,20691968,57818304,50331648,33554432,0.62,2.79,38.912,531.8,34.2
4096,1024,v2b,measured,1,16786816,1750016,18536832,55930464,50331648,33554432,0.55,3.02,36.864,502.8,32.3
4096,1024,v2c,measured,1,16784640,1631744,18416384,55333120,33554432,33554432,0.55,3.00,33.792,545.0,35.0
4096,8192,v2a,measured,1,256260736,121160832,377421568,783848736,402653184,268435456,1.41,2.08,300.032,1257.9,80.9
4096,8192,v2b,measured,1,254650880,118975232,373626112,782425216,402653184,268435456,1.39,2.09,300.032,1245.3,80.1
4096,8192,v2c,measured,1,134235264,115818624,250053888,525347936,268435456,268435456,0.93,2.10,211.968,1179.7,75.9
