# timestamp_utc=2026-09-22T05:00:56+00:00
# host=129-146-116-70
# python=3.10.12
# git_commit=dfac770-dirty
# nvcc=Build cuda_12.8.r12.8/compiler.35583870_0
# ncu=Version 2025.1.1.0 (build 35528883) (public-release)
# driver=580.105.08
# torch=2.7.0
# cuda_runtime=12.8
# cudnn=90800
# gpu=NVIDIA A100-SXM4-40GB
# gpu_memory_gb=42.4
# sm_count=108
# compute_capability=8.0
# shared_mem_per_block_optin_kb=163.0
# peak_bw_gbs=1555.0
# peak_bw_source=table lookup: A100-SXM4-40GB
# clocks_sm_clock=270 MHz
# clocks_sm_clock_max=1410 MHz
# clocks_mem_clock=1215 MHz
# clocks_mem_clock_max=1215 MHz
# clocks_throttle_reasons=0x0000000000000001
# clocks_temp_c=31
# clocks_power_w=70.36 W
iteration,microseconds
0,133.1200
1,128.0000
2,126.9760
3,125.9520
4,124.9280
5,124.9280
6,125.9520
7,128.0000
8,130.0480
9,126.9760
10,125.9520
11,125.9520
12,124.9280
13,124.9280
14,124.9280
15,125.9520
16,124.9280
17,125.9520
18,124.9280
19,124.9280
20,125.9520
21,130.0480
22,124.9280
23,124.9280
24,123.9040
25,139.2640
26,124.9280
27,123.9040
28,126.9760
29,126.9760
30,125.9520
31,124.9280
32,124.9280
33,124.9280
34,128.0000
35,125.9520
36,123.9040
37,126.9760
38,124.9280
39,124.9280
40,125.9520
41,130.0480
42,125.9520
43,124.9280
44,123.9040
45,124.9280
46,123.9040
47,126.9760
48,124.9280
49,126.9760
50,124.9280
51,124.9280
52,126.9760
53,125.9520
54,128.0000
55,125.9520
56,125.9520
57,126.9760
58,124.9280
59,125.9520
60,129.0240
61,126.9760
62,124.9280
63,124.9280
64,126.9760
65,126.9760
66,125.9520
67,128.0000
68,125.9520
69,126.9760
70,124.9280
71,125.9520
72,126.9760
73,131.0720
74,126.9760
75,125.9520
76,124.9280
77,126.9760
78,124.9280
79,125.9520
80,126.9760
81,124.9280
82,124.9280
83,124.9280
84,123.9040
85,126.9760
86,128.0000
87,125.9520
88,125.9520
89,125.9520
90,125.9520
91,124.9280
92,125.9520
93,130.0480
94,124.9280
95,125.9520
96,124.9280
97,125.9520
98,125.9520
99,129.0240
100,125.9520
101,125.9520
102,122.8800
103,124.9280
104,125.9520
105,128.0000
106,128.0000
107,123.9040
108,125.9520
109,124.9280
110,124.9280
111,124.9280
112,130.0480
113,126.9760
114,124.9280
115,124.9280
116,124.9280
117,126.9760
118,124.9280
119,126.9760
120,125.9520
121,126.9760
122,124.9280
123,125.9520
124,126.9760
125,130.0480
126,124.9280
127,125.9520
128,126.9760
129,126.9760
130,124.9280
131,124.9280
132,126.9760
133,125.9520
134,124.9280
135,124.9280
136,124.9280
137,126.9760
138,126.9760
139,123.9040
140,124.9280
141,129.0240
142,126.9760
143,125.9520
144,124.9280
145,130.0480
146,124.9280
147,123.9040
148,124.9280
149,126.9760
150,124.9280
151,128.0000
152,126.9760
153,126.9760
154,125.9520
155,138.2400
156,125.9520
157,124.9280
158,128.0000
159,124.9280
160,125.9520
161,125.9520
162,125.9520
163,124.9280
164,128.0000
165,125.9520
166,123.9040
167,123.9040
168,125.9520
169,125.9520
170,124.9280
171,126.9760
172,124.9280
173,128.0000
174,124.9280
175,125.9520
176,124.9280
177,129.0240
178,125.9520
179,122.8800
180,125.9520
181,128.0000
182,126.9760
183,124.9280
184,129.0240
185,126.9760
186,124.9280
187,123.9040
188,124.9280
189,126.9760
190,126.9760
191,124.9280
192,125.9520
193,126.9760
194,124.9280
195,125.9520
196,124.9280
197,130.0480
198,123.9040
199,125.9520
