# timestamp_utc=2026-09-22T05:00:56+00:00
# host=129-146-116-70
# python=3.10.12
# git_commit=dfac770-dirty
# nvcc=Build cuda_12.8.r12.8/compiler.35583870_0
# ncu=Version 2025.1.1.0 (build 35528883) (public-release)
# driver=580.105.08
# torch=2.7.0
# cuda_runtime=12.8
# cudnn=90800
# gpu=NVIDIA A100-SXM4-40GB
# gpu_memory_gb=42.4
# sm_count=108
# compute_capability=8.0
# shared_mem_per_block_optin_kb=163.0
# peak_bw_gbs=1555.0
# peak_bw_source=table lookup: A100-SXM4-40GB
# clocks_sm_clock=270 MHz
# clocks_sm_clock_max=1410 MHz
# clocks_mem_clock=1215 MHz
# clocks_mem_clock_max=1215 MHz
# clocks_throttle_reasons=0x0000000000000001
# clocks_temp_c=31
# clocks_power_w=70.36 W
iteration,microseconds
0,109.5680
1,99.3280
2,95.2320
3,102.4000
4,96.2560
5,92.1600
6,91.1360
7,94.2080
8,93.1840
9,93.1840
10,93.1840
11,102.4000
12,96.2560
13,93.1840
14,95.2320
15,93.1840
16,103.4240
17,97.2800
18,114.6880
19,97.2800
20,93.1840
21,92.1600
22,94.2080
23,92.1600
24,93.1840
25,95.2320
26,112.6400
27,94.2080
28,103.4240
29,92.1600
30,94.2080
31,94.2080
32,93.1840
33,93.1840
34,99.3280
35,92.1600
36,95.2320
37,92.1600
38,93.1840
39,94.2080
40,96.2560
41,91.1360
42,108.5440
43,95.2320
44,92.1600
45,92.1600
46,91.1360
47,96.2560
48,92.1600
49,112.6400
50,98.3040
51,93.1840
52,92.1600
53,93.1840
54,91.1360
55,93.1840
56,93.1840
57,119.8080
58,94.2080
59,92.1600
60,92.1600
61,94.2080
62,92.1600
63,93.1840
64,93.1840
65,111.6160
66,94.2080
67,93.1840
68,92.1600
69,92.1600
70,90.1120
71,91.1360
72,91.1360
73,112.6400
74,94.2080
75,92.1600
76,91.1360
77,92.1600
78,92.1600
79,93.1840
80,91.1360
81,110.5920
82,93.1840
83,92.1600
84,92.1600
85,91.1360
86,92.1600
87,91.1360
88,93.1840
89,109.5680
90,93.1840
91,91.1360
92,91.1360
93,93.1840
94,92.1600
95,92.1600
96,92.1600
97,110.5920
98,94.2080
99,91.1360
100,91.1360
101,91.1360
102,91.1360
103,90.1120
104,91.1360
105,110.5920
106,93.1840
107,91.1360
108,90.1120
109,92.1600
110,90.1120
111,90.1120
112,90.1120
113,110.5920
114,93.1840
115,91.1360
116,90.1120
117,91.1360
118,91.1360
119,90.1120
120,90.1120
121,109.5680
122,93.1840
123,90.1120
124,91.1360
125,90.1120
126,102.4000
127,95.2320
128,91.1360
129,110.5920
130,94.2080
131,91.1360
132,91.1360
133,92.1600
134,90.1120
135,91.1360
136,90.1120
137,110.5920
138,93.1840
139,91.1360
140,91.1360
141,91.1360
142,89.0880
143,91.1360
144,90.1120
145,109.5680
146,97.2800
147,93.1840
148,91.1360
149,90.1120
150,90.1120
151,90.1120
152,90.1120
153,108.5440
154,96.2560
155,92.1600
156,91.1360
157,90.1120
158,92.1600
159,92.1600
160,90.1120
161,107.5200
162,96.2560
163,91.1360
164,90.1120
165,91.1360
166,90.1120
167,91.1360
168,93.1840
169,107.5200
170,94.2080
171,91.1360
172,90.1120
173,90.1120
174,90.1120
175,91.1360
176,91.1360
177,106.4960
178,96.2560
179,91.1360
180,130.0480
181,103.4240
182,93.1840
183,91.1360
184,91.1360
185,112.6400
186,92.1600
187,91.1360
188,91.1360
189,92.1600
190,90.1120
191,90.1120
192,90.1120
193,112.6400
194,91.1360
195,92.1600
196,90.1120
197,91.1360
198,92.1600
199,92.1600
