# timestamp_utc=2026-09-22T05:00:56+00:00
# host=129-146-116-70
# python=3.10.12
# git_commit=dfac770-dirty
# nvcc=Build cuda_12.8.r12.8/compiler.35583870_0
# ncu=Version 2025.1.1.0 (build 35528883) (public-release)
# driver=580.105.08
# torch=2.7.0
# cuda_runtime=12.8
# cudnn=90800
# gpu=NVIDIA A100-SXM4-40GB
# gpu_memory_gb=42.4
# sm_count=108
# compute_capability=8.0
# shared_mem_per_block_optin_kb=163.0
# peak_bw_gbs=1555.0
# peak_bw_source=table lookup: A100-SXM4-40GB
# clocks_sm_clock=270 MHz
# clocks_sm_clock_max=1410 MHz
# clocks_mem_clock=1215 MHz
# clocks_mem_clock_max=1215 MHz
# clocks_throttle_reasons=0x0000000000000001
# clocks_temp_c=31
# clocks_power_w=70.36 W
iteration,microseconds
0,252.9280
1,246.7840
2,243.7120
3,244.7360
4,245.7600
5,246.7840
6,242.6880
7,243.7120
8,244.7360
9,244.7360
10,243.7120
11,243.7120
12,245.7600
13,242.6880
14,242.6880
15,243.7120
16,243.7120
17,243.7120
18,242.6880
19,242.6880
20,245.7600
21,242.6880
22,242.6880
23,241.6640
24,245.7600
25,244.7360
26,244.7360
27,244.7360
28,242.6880
29,242.6880
30,246.7840
31,245.7600
32,242.6880
33,243.7120
34,241.6640
35,244.7360
36,241.6640
37,242.6880
38,243.7120
39,242.6880
40,243.7120
41,240.6400
42,245.7600
43,242.6880
44,242.6880
45,241.6640
46,245.7600
47,241.6640
48,243.7120
49,241.6640
50,245.7600
51,242.6880
52,241.6640
53,245.7600
54,241.6640
55,241.6640
56,242.6880
57,244.7360
58,242.6880
59,242.6880
60,241.6640
61,243.7120
62,242.6880
63,243.7120
64,254.9760
65,244.7360
66,242.6880
67,244.7360
68,246.7840
69,241.6640
70,242.6880
71,242.6880
72,244.7360
73,242.6880
74,242.6880
75,241.6640
76,244.7360
77,244.7360
78,241.6640
79,245.7600
80,242.6880
81,241.6640
82,243.7120
83,245.7600
84,243.7120
85,240.6400
86,242.6880
87,244.7360
88,241.6640
89,243.7120
90,242.6880
91,245.7600
92,243.7120
93,242.6880
94,245.7600
95,242.6880
96,243.7120
97,242.6880
98,243.7120
99,242.6880
100,243.7120
101,243.7120
102,244.7360
103,243.7120
104,244.7360
105,243.7120
106,242.6880
107,242.6880
108,243.7120
109,244.7360
110,242.6880
111,241.6640
112,241.6640
113,244.7360
114,241.6640
115,242.6880
116,242.6880
117,245.7600
118,241.6640
119,242.6880
120,245.7600
121,243.7120
122,242.6880
123,243.7120
124,244.7360
125,242.6880
126,241.6640
127,242.6880
128,244.7360
129,242.6880
130,242.6880
131,242.6880
132,245.7600
133,242.6880
134,241.6640
135,243.7120
136,243.7120
137,242.6880
138,240.6400
139,244.7360
140,242.6880
141,244.7360
142,243.7120
143,244.7360
144,242.6880
145,241.6640
146,244.7360
147,241.6640
148,241.6640
149,242.6880
150,245.7600
151,242.6880
152,241.6640
153,242.6880
154,243.7120
155,242.6880
156,242.6880
157,242.6880
158,243.7120
159,243.7120
160,242.6880
161,244.7360
162,240.6400
163,241.6640
164,240.6400
165,245.7600
166,243.7120
167,243.7120
168,241.6640
169,244.7360
170,241.6640
171,243.7120
172,241.6640
173,245.7600
174,242.6880
175,240.6400
176,245.7600
177,242.6880
178,241.6640
179,245.7600
180,246.7840
181,242.6880
182,243.7120
183,241.6640
184,243.7120
185,241.6640
186,241.6640
187,245.7600
188,241.6640
189,242.6880
190,243.7120
191,244.7360
192,242.6880
193,241.6640
194,242.6880
195,246.7840
196,243.7120
197,241.6640
198,242.6880
199,245.7600
