# timestamp_utc=2026-09-22T05:00:56+00:00
# host=129-146-116-70
# python=3.10.12
# git_commit=dfac770-dirty
# nvcc=Build cuda_12.8.r12.8/compiler.35583870_0
# ncu=Version 2025.1.1.0 (build 35528883) (public-release)
# driver=580.105.08
# torch=2.7.0
# cuda_runtime=12.8
# cudnn=90800
# gpu=NVIDIA A100-SXM4-40GB
# gpu_memory_gb=42.4
# sm_count=108
# compute_capability=8.0
# shared_mem_per_block_optin_kb=163.0
# peak_bw_gbs=1555.0
# peak_bw_source=table lookup: A100-SXM4-40GB
# clocks_sm_clock=270 MHz
# clocks_sm_clock_max=1410 MHz
# clocks_mem_clock=1215 MHz
# clocks_mem_clock_max=1215 MHz
# clocks_throttle_reasons=0x0000000000000001
# clocks_temp_c=31
# clocks_power_w=70.36 W
iteration,microseconds
0,378.8800
1,375.8080
2,376.8320
3,371.7120
4,370.6880
5,377.8560
6,374.7840
7,373.7600
8,370.6880
9,370.6880
10,374.7840
11,373.7600
12,371.7120
13,372.7360
14,371.7120
15,373.7600
16,371.7120
17,372.7360
18,373.7600
19,371.7120
20,376.8320
21,375.8080
22,374.7840
23,367.6160
24,372.7360
25,373.7600
26,372.7360
27,374.7840
28,375.8080
29,369.6640
30,376.8320
31,376.8320
32,376.8320
33,371.7120
34,370.6880
35,373.7600
36,370.6880
37,371.7120
38,372.7360
39,370.6880
40,375.8080
41,373.7600
42,373.7600
43,371.7120
44,369.6640
45,369.6640
46,374.7840
47,372.7360
48,369.6640
49,370.6880
50,374.7840
51,369.6640
52,373.7600
53,366.5920
54,369.6640
55,372.7360
56,370.6880
57,375.8080
58,373.7600
59,373.7600
60,374.7840
61,372.7360
62,372.7360
63,370.6880
64,371.7120
65,373.7600
66,374.7840
67,375.8080
68,371.7120
69,372.7360
70,377.8560
71,368.6400
72,375.8080
73,373.7600
74,372.7360
75,374.7840
76,374.7840
77,373.7600
78,371.7120
79,370.6880
80,373.7600
81,372.7360
82,375.8080
83,371.7120
84,374.7840
85,373.7600
86,370.6880
87,376.8320
88,375.8080
89,369.6640
90,371.7120
91,374.7840
92,373.7600
93,370.6880
94,374.7840
95,370.6880
96,373.7600
97,374.7840
98,373.7600
99,374.7840
100,373.7600
101,368.6400
102,374.7840
103,373.7600
104,373.7600
105,374.7840
106,372.7360
107,376.8320
108,374.7840
109,371.7120
110,374.7840
111,373.7600
112,372.7360
113,364.5440
114,369.6640
115,370.6880
116,369.6640
117,374.7840
118,373.7600
119,373.7600
120,370.6880
121,369.6640
122,377.8560
123,372.7360
124,375.8080
125,377.8560
126,376.8320
127,376.8320
128,376.8320
129,369.6640
130,374.7840
131,372.7360
132,377.8560
133,370.6880
134,373.7600
135,374.7840
136,372.7360
137,374.7840
138,374.7840
139,371.7120
140,372.7360
141,371.7120
142,372.7360
143,373.7600
144,374.7840
145,375.8080
146,372.7360
147,374.7840
148,373.7600
149,373.7600
150,374.7840
151,371.7120
152,373.7600
153,370.6880
154,374.7840
155,370.6880
156,374.7840
157,376.8320
158,375.8080
159,370.6880
160,374.7840
161,373.7600
162,371.7120
163,373.7600
164,376.8320
165,372.7360
166,375.8080
167,376.8320
168,374.7840
169,368.6400
170,372.7360
171,373.7600
172,373.7600
173,370.6880
174,368.6400
175,374.7840
176,374.7840
177,371.7120
178,370.6880
179,372.7360
180,375.8080
181,372.7360
182,376.8320
183,372.7360
184,374.7840
185,373.7600
186,374.7840
187,377.8560
188,371.7120
189,371.7120
190,377.8560
191,372.7360
192,376.8320
193,373.7600
194,374.7840
195,372.7360
196,371.7120
197,374.7840
198,376.8320
199,376.8320
