# timestamp_utc=2026-09-22T05:00:56+00:00
# host=129-146-116-70
# python=3.10.12
# git_commit=dfac770-dirty
# nvcc=Build cuda_12.8.r12.8/compiler.35583870_0
# ncu=Version 2025.1.1.0 (build 35528883) (public-release)
# driver=580.105.08
# torch=2.7.0
# cuda_runtime=12.8
# cudnn=90800
# gpu=NVIDIA A100-SXM4-40GB
# gpu_memory_gb=42.4
# sm_count=108
# compute_capability=8.0
# shared_mem_per_block_optin_kb=163.0
# peak_bw_gbs=1555.0
# peak_bw_source=table lookup: A100-SXM4-40GB
# clocks_sm_clock=270 MHz
# clocks_sm_clock_max=1410 MHz
# clocks_mem_clock=1215 MHz
# clocks_mem_clock_max=1215 MHz
# clocks_throttle_reasons=0x0000000000000001
# clocks_temp_c=31
# clocks_power_w=70.36 W
iteration,microseconds
0,44.0320
1,40.9600
2,39.9360
3,38.9120
4,39.9360
5,38.9120
6,39.9360
7,38.9120
8,38.9120
9,41.9840
10,39.9360
11,39.9360
12,39.9360
13,38.9120
14,38.9120
15,39.9360
16,38.9120
17,38.9120
18,38.9120
19,38.9120
20,38.9120
21,38.9120
22,39.9360
23,39.9360
24,51.2000
25,39.9360
26,39.9360
27,38.9120
28,38.9120
29,38.9120
30,38.9120
31,39.9360
32,38.9120
33,38.9120
34,38.9120
35,39.9360
36,38.9120
37,39.9360
38,38.9120
39,38.9120
40,41.9840
41,39.9360
42,39.9360
43,38.9120
44,39.9360
45,38.9120
46,39.9360
47,39.9360
48,38.9120
49,38.9120
50,39.9360
51,38.9120
52,39.9360
53,38.9120
54,39.9360
55,53.2480
56,39.9360
57,38.9120
58,38.9120
59,39.9360
60,38.9120
61,38.9120
62,39.9360
63,39.9360
64,38.9120
65,38.9120
66,39.9360
67,38.9120
68,38.9120
69,38.9120
70,39.9360
71,40.9600
72,38.9120
73,38.9120
74,39.9360
75,38.9120
76,38.9120
77,38.9120
78,38.9120
79,39.9360
80,38.9120
81,38.9120
82,38.9120
83,39.9360
84,38.9120
85,38.9120
86,39.9360
87,40.9600
88,39.9360
89,38.9120
90,38.9120
91,38.9120
92,39.9360
93,38.9120
94,38.9120
95,39.9360
96,38.9120
97,38.9120
98,38.9120
99,39.9360
100,38.9120
101,38.9120
102,39.9360
103,41.9840
104,38.9120
105,38.9120
106,39.9360
107,38.9120
108,38.9120
109,38.9120
110,39.9360
111,38.9120
112,39.9360
113,38.9120
114,38.9120
115,38.9120
116,39.9360
117,38.9120
118,52.2240
119,39.9360
120,38.9120
121,38.9120
122,38.9120
123,38.9120
124,38.9120
125,38.9120
126,38.9120
127,38.9120
128,38.9120
129,38.9120
130,38.9120
131,38.9120
132,38.9120
133,38.9120
134,41.9840
135,39.9360
136,38.9120
137,38.9120
138,38.9120
139,39.9360
140,39.9360
141,38.9120
142,39.9360
143,38.9120
144,38.9120
145,38.9120
146,39.9360
147,38.9120
148,38.9120
149,38.9120
150,41.9840
151,39.9360
152,39.9360
153,38.9120
154,38.9120
155,39.9360
156,38.9120
157,38.9120
158,39.9360
159,38.9120
160,38.9120
161,38.9120
162,39.9360
163,38.9120
164,38.9120
165,39.9360
166,40.9600
167,39.9360
168,39.9360
169,38.9120
170,39.9360
171,39.9360
172,39.9360
173,39.9360
174,39.9360
175,39.9360
176,38.9120
177,38.9120
178,38.9120
179,38.9120
180,39.9360
181,38.9120
182,40.9600
183,38.9120
184,38.9120
185,38.9120
186,39.9360
187,38.9120
188,38.9120
189,38.9120
190,39.9360
191,39.9360
192,38.9120
193,38.9120
194,39.9360
195,38.9120
196,38.9120
197,51.2000
198,39.9360
199,39.9360
