# timestamp_utc=2026-09-22T05:00:56+00:00
# host=129-146-116-70
# python=3.10.12
# git_commit=dfac770-dirty
# nvcc=Build cuda_12.8.r12.8/compiler.35583870_0
# ncu=Version 2025.1.1.0 (build 35528883) (public-release)
# driver=580.105.08
# torch=2.7.0
# cuda_runtime=12.8
# cudnn=90800
# gpu=NVIDIA A100-SXM4-40GB
# gpu_memory_gb=42.4
# sm_count=108
# compute_capability=8.0
# shared_mem_per_block_optin_kb=163.0
# peak_bw_gbs=1555.0
# peak_bw_source=table lookup: A100-SXM4-40GB
# clocks_sm_clock=270 MHz
# clocks_sm_clock_max=1410 MHz
# clocks_mem_clock=1215 MHz
# clocks_mem_clock_max=1215 MHz
# clocks_throttle_reasons=0x0000000000000001
# clocks_temp_c=31
# clocks_power_w=70.36 W
iteration,microseconds
0,309.2480
1,301.0560
2,300.0320
3,300.0320
4,303.1040
5,301.0560
6,299.0080
7,301.0560
8,299.0080
9,301.0560
10,302.0800
11,300.0320
12,302.0800
13,300.0320
14,300.0320
15,301.0560
16,301.0560
17,299.0080
18,299.0080
19,301.0560
20,300.0320
21,299.0080
22,301.0560
23,300.0320
24,300.0320
25,301.0560
26,297.9840
27,300.0320
28,302.0800
29,301.0560
30,302.0800
31,312.3200
32,297.9840
33,299.0080
34,299.0080
35,300.0320
36,297.9840
37,297.9840
38,301.0560
39,300.0320
40,300.0320
41,299.0080
42,299.0080
43,300.0320
44,301.0560
45,300.0320
46,299.0080
47,297.9840
48,300.0320
49,299.0080
50,301.0560
51,299.0080
52,297.9840
53,303.1040
54,300.0320
55,297.9840
56,303.1040
57,301.0560
58,299.0080
59,300.0320
60,300.0320
61,297.9840
62,300.0320
63,300.0320
64,300.0320
65,301.0560
66,299.0080
67,299.0080
68,301.0560
69,297.9840
70,301.0560
71,301.0560
72,299.0080
73,300.0320
74,303.1040
75,300.0320
76,303.1040
77,299.0080
78,302.0800
79,300.0320
80,300.0320
81,301.0560
82,300.0320
83,299.0080
84,301.0560
85,299.0080
86,300.0320
87,301.0560
88,300.0320
89,299.0080
90,301.0560
91,300.0320
92,297.9840
93,300.0320
94,300.0320
95,299.0080
96,301.0560
97,297.9840
98,301.0560
99,302.0800
100,299.0080
101,301.0560
102,303.1040
103,297.9840
104,299.0080
105,301.0560
106,300.0320
107,301.0560
108,302.0800
109,300.0320
110,301.0560
111,301.0560
112,301.0560
113,299.0080
114,300.0320
115,299.0080
116,299.0080
117,301.0560
118,300.0320
119,299.0080
120,308.2240
121,299.0080
122,299.0080
123,296.9600
124,301.0560
125,299.0080
126,299.0080
127,302.0800
128,300.0320
129,297.9840
130,302.0800
131,296.9600
132,297.9840
133,299.0080
134,297.9840
135,300.0320
136,300.0320
137,299.0080
138,301.0560
139,301.0560
140,300.0320
141,297.9840
142,302.0800
143,299.0080
144,300.0320
145,302.0800
146,299.0080
147,297.9840
148,300.0320
149,299.0080
150,300.0320
151,302.0800
152,300.0320
153,297.9840
154,300.0320
155,299.0080
156,296.9600
157,300.0320
158,297.9840
159,297.9840
160,311.2960
161,299.0080
162,300.0320
163,299.0080
164,302.0800
165,300.0320
166,301.0560
167,301.0560
168,300.0320
169,300.0320
170,301.0560
171,299.0080
172,299.0080
173,302.0800
174,299.0080
175,300.0320
176,303.1040
177,299.0080
178,301.0560
179,302.0800
180,299.0080
181,299.0080
182,300.0320
183,297.9840
184,297.9840
185,302.0800
186,300.0320
187,299.0080
188,301.0560
189,301.0560
190,299.0080
191,302.0800
192,300.0320
193,299.0080
194,300.0320
195,299.0080
196,299.0080
197,302.0800
198,299.0080
199,297.9840
