# timestamp_utc=2026-09-22T05:00:56+00:00
# host=129-146-116-70
# python=3.10.12
# git_commit=dfac770-dirty
# nvcc=Build cuda_12.8.r12.8/compiler.35583870_0
# ncu=Version 2025.1.1.0 (build 35528883) (public-release)
# driver=580.105.08
# torch=2.7.0
# cuda_runtime=12.8
# cudnn=90800
# gpu=NVIDIA A100-SXM4-40GB
# gpu_memory_gb=42.4
# sm_count=108
# compute_capability=8.0
# shared_mem_per_block_optin_kb=163.0
# peak_bw_gbs=1555.0
# peak_bw_source=table lookup: A100-SXM4-40GB
# clocks_sm_clock=270 MHz
# clocks_sm_clock_max=1410 MHz
# clocks_mem_clock=1215 MHz
# clocks_mem_clock_max=1215 MHz
# clocks_throttle_reasons=0x0000000000000001
# clocks_temp_c=31
# clocks_power_w=70.36 W
iteration,microseconds
0,38.9120
1,35.8400
2,34.8160
3,34.8160
4,34.8160
5,33.7920
6,33.7920
7,36.8640
8,33.7920
9,33.7920
10,33.7920
11,33.7920
12,33.7920
13,33.7920
14,33.7920
15,34.8160
16,34.8160
17,33.7920
18,34.8160
19,34.8160
20,33.7920
21,33.7920
22,33.7920
23,33.7920
24,36.8640
25,34.8160
26,33.7920
27,33.7920
28,33.7920
29,32.7680
30,33.7920
31,34.8160
32,32.7680
33,34.8160
34,33.7920
35,33.7920
36,32.7680
37,33.7920
38,32.7680
39,33.7920
40,33.7920
41,35.8400
42,33.7920
43,32.7680
44,34.8160
45,33.7920
46,33.7920
47,33.7920
48,33.7920
49,33.7920
50,32.7680
51,34.8160
52,33.7920
53,33.7920
54,33.7920
55,32.7680
56,33.7920
57,33.7920
58,36.8640
59,34.8160
60,33.7920
61,33.7920
62,32.7680
63,33.7920
64,33.7920
65,33.7920
66,33.7920
67,33.7920
68,33.7920
69,33.7920
70,33.7920
71,33.7920
72,32.7680
73,33.7920
74,33.7920
75,35.8400
76,32.7680
77,33.7920
78,34.8160
79,34.8160
80,33.7920
81,33.7920
82,33.7920
83,33.7920
84,33.7920
85,33.7920
86,33.7920
87,33.7920
88,33.7920
89,33.7920
90,33.7920
91,33.7920
92,35.8400
93,33.7920
94,33.7920
95,33.7920
96,33.7920
97,33.7920
98,33.7920
99,33.7920
100,33.7920
101,33.7920
102,33.7920
103,33.7920
104,33.7920
105,34.8160
106,32.7680
107,33.7920
108,33.7920
109,47.1040
110,34.8160
111,33.7920
112,33.7920
113,33.7920
114,32.7680
115,33.7920
116,33.7920
117,33.7920
118,33.7920
119,33.7920
120,33.7920
121,33.7920
122,34.8160
123,33.7920
124,33.7920
125,32.7680
126,38.9120
127,37.8880
128,33.7920
129,34.8160
130,32.7680
131,33.7920
132,33.7920
133,33.7920
134,32.7680
135,32.7680
136,33.7920
137,33.7920
138,33.7920
139,34.8160
140,34.8160
141,33.7920
142,32.7680
143,33.7920
144,35.8400
145,33.7920
146,33.7920
147,33.7920
148,33.7920
149,33.7920
150,33.7920
151,32.7680
152,34.8160
153,33.7920
154,32.7680
155,33.7920
156,33.7920
157,32.7680
158,33.7920
159,33.7920
160,33.7920
161,35.8400
162,33.7920
163,34.8160
164,33.7920
165,33.7920
166,33.7920
167,33.7920
168,33.7920
169,33.7920
170,33.7920
171,33.7920
172,33.7920
173,33.7920
174,32.7680
175,33.7920
176,33.7920
177,33.7920
178,35.8400
179,33.7920
180,33.7920
181,33.7920
182,32.7680
183,33.7920
184,33.7920
185,33.7920
186,33.7920
187,35.8400
188,34.8160
189,35.8400
190,33.7920
191,33.7920
192,32.7680
193,33.7920
194,33.7920
195,35.8400
196,33.7920
197,33.7920
198,32.7680
199,33.7920
