# timestamp_utc=2026-09-22T05:00:56+00:00
# host=129-146-116-70
# python=3.10.12
# git_commit=dfac770-dirty
# nvcc=Build cuda_12.8.r12.8/compiler.35583870_0
# ncu=Version 2025.1.1.0 (build 35528883) (public-release)
# driver=580.105.08
# torch=2.7.0
# cuda_runtime=12.8
# cudnn=90800
# gpu=NVIDIA A100-SXM4-40GB
# gpu_memory_gb=42.4
# sm_count=108
# compute_capability=8.0
# shared_mem_per_block_optin_kb=163.0
# peak_bw_gbs=1555.0
# peak_bw_source=table lookup: A100-SXM4-40GB
# clocks_sm_clock=270 MHz
# clocks_sm_clock_max=1410 MHz
# clocks_mem_clock=1215 MHz
# clocks_mem_clock_max=1215 MHz
# clocks_throttle_reasons=0x0000000000000001
# clocks_temp_c=31
# clocks_power_w=70.36 W
n,d,kernel,kind,status,max_abs_err,median_us,p5_us,p95_us,mean_us,stdev_us,model_bytes,model_gbps,effective_gbps,effective_pct_peak,speedup_vs_v0,speedup_vs_torch,v2_path,v1_smem_bytes,warmup,iters,sm_clock_mhz
4096,1024,v0,kernel,pass,5.347e-09,45.056,44.032,48.128,45.420,1.005,67108864,1489.5,744.7,47.9,1.000,0.795,,,50,200,1095 MHz
4096,1024,v1,kernel,pass,5.347e-09,48.128,47.104,50.176,48.358,1.308,33554432,697.2,697.2,44.8,0.936,0.745,,5120,50,200,1095 MHz
4096,1024,v2,kernel,pass,1.082e-08,33.792,32.768,35.840,34.145,2.333,33554432,993.0,993.0,63.9,1.333,1.061,vec1,,50,200,1095 MHz
4096,1024,v2a,variant,pass,1.011e-08,38.912,38.912,41.011,39.675,1.921,50331648,1293.5,862.3,55.5,1.158,0.921,,,50,200,1095 MHz
4096,1024,v2b,variant,pass,1.322e-08,36.864,36.864,38.963,37.663,1.675,50331648,1365.3,910.2,58.5,1.222,0.972,,,50,200,1095 MHz
4096,1024,v2c,variant,pass,1.082e-08,33.792,32.768,35.840,34.079,1.327,33554432,993.0,993.0,63.9,1.333,1.061,,,50,200,1095 MHz
4096,1024,naive_composition,baseline,pass,7.996e-09,125.952,123.904,130.048,126.208,2.019,100663296,799.2,266.4,17.1,0.358,0.285,,,50,200,1095 MHz
4096,1024,torch_softmax,baseline,pass,7.432e-09,35.840,34.816,37.939,36.096,1.583,33554432,936.2,936.2,60.2,1.257,1.000,,,50,200,1095 MHz
4096,1024,torch_compile,baseline,pass,6.688e-09,92.160,90.112,110.592,94.976,6.878,33554432,364.1,364.1,23.4,0.489,0.389,,,50,200,1095 MHz
4096,8192,v0,kernel,pass,1.249e-09,373.760,369.664,376.832,373.396,2.412,536870912,1436.4,718.2,46.2,1.000,0.649,,,50,200,1095 MHz
4096,8192,v1,kernel,pass,1.249e-09,223.232,221.184,226.304,223.836,1.568,268435456,1202.5,1202.5,77.3,1.674,1.087,,33792,50,200,1275 MHz
4096,8192,v2,kernel,pass,3.394e-09,209.920,208.896,212.992,210.601,1.728,268435456,1278.8,1278.8,82.2,1.780,1.156,vec8,,50,200,1275 MHz
4096,8192,v2a,variant,pass,2.580e-09,300.032,297.984,303.104,300.390,2.113,402653184,1342.0,894.7,57.5,1.246,0.809,,,50,200,1095 MHz
4096,8192,v2b,variant,pass,2.488e-09,300.032,297.984,303.104,300.191,1.988,402653184,1342.0,894.7,57.5,1.246,0.809,,,50,200,1095 MHz
4096,8192,v2c,variant,pass,3.394e-09,211.968,209.920,215.040,212.270,1.532,268435456,1266.4,1266.4,81.4,1.763,1.145,,,50,200,1095 MHz
4096,8192,naive_composition,baseline,pass,1.118e-09,885.760,882.688,890.931,886.405,2.926,805306368,909.2,303.1,19.5,0.422,0.274,,,50,200,1110 MHz
4096,8192,torch_softmax,baseline,pass,1.054e-09,242.688,241.664,245.760,243.507,1.816,268435456,1106.1,1106.1,71.1,1.540,1.000,,,50,200,1410 MHz
4096,8192,torch_compile,baseline,pass,1.556e-09,262.144,259.072,275.456,263.721,4.827,268435456,1024.0,1024.0,65.9,1.426,0.926,,,50,200,1095 MHz
